player,position,season,Team,TOI,GF_60,GA_60,GPM_60,xGF_60,xGA_60,xGPM_60,CF_60,CA_60,CPM_60
AUSTIN.WATSON,F,20172018,NSH,745.07,-0.139,0.023,-0.161,-0.217,-0.104,-0.113,-1.75,-1.05,-0.7
AUSTIN.WATSON,F,20182019,NSH,455.32,0.038,-0.052,0.09,-0.066,0.089,-0.155,-1.59,1.31,-2.9
AUSTON.MATTHEWS,F,20172018,TOR,958,0.33,-0.123,0.453,0.216,0.071,0.145,1.8,0.68,1.12
AUSTON.MATTHEWS,F,20182019,TOR,1048.35,0.168,0.298,-0.13,0.257,0.132,0.126,3.22,1.92,1.31
BARCLAY.GOODROW,F,20172018,S.J,449.03,0.124,0.096,0.028,0.082,-0.086,0.168,1.58,-0.63,2.21
BARCLAY.GOODROW,F,20182019,S.J,766.75,-0.096,-0.011,-0.084,-0.155,-0.19,0.035,1.05,-3.69,4.74
BEAU.BENNETT,F,20172018,STL,59.95,-0.05,-0.003,-0.047,-0.029,0.052,-0.081,1.01,-0.32,1.33
BEN.CHIAROT,D,20172018,WPG,786.27,0.057,-0.066,0.123,-0.078,0.031,-0.108,-1.91,1.26,-3.17
BEN.CHIAROT,D,20182019,WPG,1305.32,-0.149,-0.199,0.051,-0.257,-0.165,-0.092,-3.96,1.19,-5.16
BEN.GLEASON,D,20182019,DAL,55.17,-0.002,0.025,-0.027,-0.041,-0.008,-0.033,-0.62,0.28,-0.9
BEN.HARPUR,D,20172018,OTT,535.82,-0.183,0.142,-0.326,-0.091,0.143,-0.234,0.01,1.84,-1.83
BEN.HARPUR,D,20182019,OTT,764.93,-0.14,-0.012,-0.128,-0.179,0.066,-0.245,-4.77,2.31,-7.09
BEN.HUTTON,D,20172018,VAN,954.75,-0.157,-0.043,-0.115,-0.127,-0.021,-0.105,-1.02,-0.57,-0.45
BEN.HUTTON,D,20182019,VAN,1227.43,-0.127,0.163,-0.29,-0.034,0.243,-0.276,-0.74,5.07,-5.81
BEN.LOVEJOY,D,20172018,N.J,762.73,-0.071,-0.15,0.079,-0.11,-0.238,0.129,0.16,-2.87,3.03
BEN.LOVEJOY,D,20182019,DAL/N.J,943.83,-0.087,-0.032,-0.055,-0.02,-0.048,0.028,-0.42,1.97,-2.38
BENOIT.POULIOT,F,20172018,BUF,827.17,-0.134,-0.015,-0.118,-0.129,0.053,-0.182,-1.18,2.52,-3.71
BEN.SEXTON,F,20172018,OTT,20.55,-0.018,0.002,-0.02,-0.02,-0.039,0.019,-0.08,-0.87,0.78
BEN.STREET,F,20182019,ANA,208.65,-0.121,0.059,-0.18,-0.2,0.068,-0.269,-2.23,2.51,-4.74
BLAKE.COLEMAN,F,20172018,N.J,941.2,-0.027,-0.051,0.024,-0.008,-0.218,0.211,-0.58,-3.44,2.86
BLAKE.COLEMAN,F,20182019,N.J,1022.2,0.02,0.132,-0.112,0.094,-0.014,0.108,1.05,-2,3.05
BLAKE.COMEAU,F,20172018,COL,1019.47,-0.084,-0.102,0.018,-0.052,-0.116,0.063,1.14,-1.7,2.84
BLAKE.COMEAU,F,20182019,DAL,1016.2,-0.117,-0.057,-0.06,-0.002,-0.175,0.173,-0.47,-2.12,1.64
BLAKE.HILLMAN,D,20172018,CHI,65.63,-0.058,-0.021,-0.037,-0.046,0.031,-0.077,-1.61,1.09,-2.7
BLAKE.LIZOTTE,F,20182019,L.A,11.2,-0.011,0.013,-0.024,0.044,-0.008,0.052,0.86,-0.47,1.33
BLAKE.PIETILA,F,20172018,N.J,18.92,-0.016,-0.019,0.003,-0.004,-0.024,0.02,-0.22,-0.38,0.16
BLAKE.PIETILA,F,20182019,N.J,225.12,-0.095,0.023,-0.118,-0.094,-0.028,-0.065,-2.02,3.57,-5.59
BLAKE.WHEELER,F,20172018,WPG,1239.05,0.03,-0.032,0.062,0.071,0.028,0.043,0.27,0.1,0.17
